T,800 ℃,800 ℃,800 ℃,950 ℃,950 ℃,950 ℃
δ,0.25-0.375,0.3125-0.4375,0.375-0.5,0.25-0.375,0.3125-0.4375,0.375-0.5
Ba0.125Sm0.875Mn0.625Ni0.125Ti0.25,2.17715,2.36279,2.54843,2.03025,2.20729,2.38433
Ba0.125Y0.875Co0.25Cu0.375Ti0.375,2.15359,2.31002,2.46645,2.00679,2.14725,2.28771
Ba0.125Y0.875Cu0.375Mn0.25Ti0.375,2.15359,2.31002,2.46645,2.00679,2.14725,2.28771
Ba0.125Y0.875Cu0.375Ni0.25Ti0.375,2.15359,2.31002,2.46645,2.00679,2.14725,2.28771
Ba0.125Y0.875Fe0.25Cu0.375Ti0.375,2.16746,2.43782,2.70819,2.01762,2.277,2.53637
Ba0.25Ca0.125La0.625Cu0.625Ti0.375,2.13068,2.19258,2.25447,2.00145,2.05046,2.09947
Ba0.25Ca0.125La0.625Mg0.625Ti0.375,2.06013,2.36493,2.66973,1.94075,2.23065,2.52054
Ba0.25Ca0.125Sm0.625Mg0.625Ti0.375,2.14867,2.43745,2.72624,2.01801,2.29464,2.57128
Ba0.25Ca0.25Sm0.5Mg0.625Ti0.375,2.15551,2.42353,2.69156,2.02316,2.28037,2.53759
Ba0.25Ca0.25Y0.5Mg0.625Ti0.375,2.17934,2.44388,2.70843,2.05053,2.29855,2.54657
Ba0.25Ca0.375K0.375Fe0.125.875,2.40763,2.38516,2.36269,2.26951,2.24009,2.21462
Ba0.25Ca0.375La0.375Fe0.5Ti0.5,2.25647,2.49345,2.73044,2.11378,2.34529,2.57679
Ba0.25Ca0.375Sm0.375Co0.625Ti0.375,2.27845,2.43195,2.58546,2.14342,2.28688,2.43034
Ba0.25Ca0.375Sm0.375Mg0.625Ti0.375,2.02261,2.24569,2.46876,1.88823,2.10282,2.31741
Ba0.25Ca0.375Sm0.375Mn0.625Ti0.375,2.25186,2.43436,2.61686,2.11404,2.28881,2.46358
Ba0.25Ca0.375Sm0.375Ni0.625Ti0.375,2.0922,2.29952,2.50684,1.9549,2.15362,2.35234
Ba0.25Ca0.375Y0.375Mg0.625Ti0.375,1.9895,2.32452,2.65953,1.86265,2.18196,2.50127
Ba0.25Ca0.5La0.25Co0.625Ti0.375,2.18564,2.43307,2.68051,2.06127,2.29294,2.52463
Ba0.25Ca0.5La0.25Mg0.625Ti0.375,2.18564,2.43307,2.68051,2.06127,2.29294,2.52463
Ba0.25Ca0.5La0.25Mn0.625Ti0.375,2.18564,2.43307,2.68051,2.06127,2.29294,2.52463
Ba0.25Ca0.5La0.25Ni0.625Ti0.375,2.18427,2.43026,2.67626,2.06026,2.29018,2.52011
Ba0.25Ca0.625K0.125Co0.5Ti0.5,2.06886,2.36117,2.65348,1.92807,2.21478,2.50173
Ba0.25Ca0.625K0.125Cu0.5Ti0.5,2.06886,2.36117,2.65348,1.92807,2.21478,2.50173
Ba0.25Ca0.625K0.125Mg0.5Ti0.5,2.06886,2.36117,2.65348,1.92807,2.21478,2.50173
Ba0.25Ca0.625K0.125Mn0.5Ti0.5,2.06886,2.36117,2.65348,1.92807,2.21478,2.50173
Ba0.25Ca0.625K0.125Ni0.5Ti0.5,2.06886,2.36117,2.65348,1.92807,2.21478,2.50173
Ba0.25Ca0.625La0.125Co0.625Ti0.375,2.00064,2.21584,2.43104,1.87535,2.07641,2.27746
Ba0.25Ca0.625La0.125Mg0.625Ti0.375,2.00064,2.21584,2.43104,1.87535,2.07641,2.27746
Ba0.25Ca0.625La0.125Mn0.625Ti0.375,2.00064,2.21584,2.43104,1.87535,2.07641,2.27746
Ba0.25Ca0.625La0.125Ni0.625Ti0.375,1.99926,2.21303,2.42679,1.87434,2.07364,2.27295
Ba0.25K0.375Sm0.375Fe0.125.875,2.42289,2.4431,2.4633,2.28519,2.29772,2.31404
Ba0.25K0.375Y0.375Fe0.125.875,2.41724,2.41054,2.40385,2.27854,2.26461,2.25455
Ba0.25La0.125Sm0.625Mg0.625Ti0.375,2.2086,2.4577,2.70679,2.07815,2.31496,2.55177
Ba0.25La0.25Sm0.5Mg0.625Ti0.375,2.30747,2.48351,2.65956,2.17758,2.34126,2.50494
Ba0.25La0.25Y0.5Mg0.625Ti0.375,2.23746,2.46965,2.70185,2.11365,2.32757,2.54149
Ba0.25La0.375K0.375Fe0.125.875,2.40208,2.40722,2.41237,2.26522,2.26269,2.26412
Ba0.25La0.375Sm0.375Mg0.625Ti0.375,2.29091,2.49792,2.70493,2.17023,2.36034,2.55046
Ba0.25La0.5Sm0.25Mg0.625Ti0.375,2.23978,2.48925,2.73873,2.11951,2.35179,2.58407
Ba0.25La0.5Y0.25Mg0.625Ti0.375,2.20577,2.46144,2.71711,2.08683,2.32458,2.56232
Ba0.25La0.625K0.125Co0.625Ti0.375,2.21534,2.47217,2.72899,2.07712,2.32755,2.57814
Ba0.25La0.625Sm0.125Cu0.625Ti0.375,2.19062,2.21282,2.23502,2.06159,2.07077,2.07996
Ba0.25La0.625Sm0.125Mg0.625Ti0.375,2.12006,2.38517,2.65028,2.0009,2.25096,2.50103
Ba0.25La0.625Y0.125Cu0.625Ti0.375,2.19062,2.21282,2.23502,2.06159,2.07077,2.07996
Ba0.25La0.625Y0.125Mg0.625Ti0.375,2.12006,2.38517,2.65028,2.0009,2.25096,2.50103
Ba0.25La0.75Co0.125Cu0.5Ti0.375,2.15555,2.22039,2.28522,2.03255,2.0801,2.12766
Ba0.25La0.75Co0.125Mn0.625Ti0.25,2.00472,2.3398,2.67488,1.8843,2.20223,2.52016
Ba0.25La0.75Co0.25Cu0.375Ti0.375,2.17739,2.22279,2.26819,2.05472,2.08309,2.11145
Ba0.25La0.75Cu0.125Mn0.625Ti0.25,2.02067,2.33268,2.64468,1.89774,2.19434,2.49095
Ba0.25La0.75Cu0.375Mg0.25Ti0.375,2.17739,2.22279,2.26819,2.05472,2.08309,2.11145
Ba0.25La0.75Cu0.375Mn0.25Ti0.375,2.17739,2.22279,2.26819,2.05472,2.08309,2.11145
Ba0.25La0.75Cu0.375Ni0.25Ti0.375,2.17739,2.22279,2.26819,2.05472,2.08309,2.11145
Ba0.25La0.75Cu0.5Mg0.125Ti0.375,2.15555,2.22039,2.28522,2.03255,2.0801,2.12766
Ba0.25La0.75Cu0.5Mn0.125Ti0.375,2.15555,2.22039,2.28522,2.03255,2.0801,2.12766
