T,800 ℃,800 ℃,800 ℃,950 ℃,950 ℃,950 ℃
δ,0.25-0.375,0.3125-0.4375,0.375-0.5,0.25-0.375,0.3125-0.4375,0.375-0.5
Ba0.75La0.25Mn0.5Ni0.125Ti0.375,2.35697,2.34517,2.33338,2.24212,2.20361,2.1651
Ba0.75Sm0.25Co0.125Mg0.5Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Co0.125Mn0.5Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Co0.125Ni0.5Ti0.375,2.07481,2.12278,2.17075,1.95828,1.98094,2.0036
Ba0.75Sm0.25Co0.25Mg0.375Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Co0.25Mn0.375Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Co0.25Ni0.375Ti0.375,2.07481,2.12278,2.17075,1.95828,1.98094,2.0036
Ba0.75Sm0.25Co0.375Cu0.25Ti0.375,2.05102,2.07021,2.0894,1.93632,1.92935,1.92238
Ba0.75Sm0.25Co0.375Mg0.25Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Co0.375Mn0.25Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Co0.375Ni0.25Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Co0.5Cu0.125Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Co0.5Mg0.125Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Co0.5Mn0.125Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Co0.5Ni0.125Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Cu0.125Mg0.5Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Cu0.125Mn0.5Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Cu0.125Ni0.5Ti0.375,2.07481,2.12278,2.17075,1.95828,1.98094,2.0036
Ba0.75Sm0.25Cu0.25Mg0.375Ti0.375,2.05102,2.07021,2.0894,1.93632,1.92935,1.92238
Ba0.75Sm0.25Cu0.25Mn0.375Ti0.375,2.05102,2.07021,2.0894,1.93632,1.92935,1.92238
Ba0.75Sm0.25Cu0.25Ni0.375Ti0.375,2.04207,2.07351,2.10496,1.92601,1.93209,1.93817
Ba0.75Sm0.25Fe0.25Co0.375Ti0.375,2.10345,2.12429,2.14514,1.98519,1.98928,1.99337
Ba0.75Sm0.25Fe0.25Mg0.375Ti0.375,2.10068,2.12474,2.1488,1.98266,1.98949,1.99633
Ba0.75Sm0.25Fe0.25Mn0.375Ti0.375,2.10068,2.12474,2.1488,1.98266,1.98949,1.99633
Ba0.75Sm0.25Fe0.25Ni0.375Ti0.375,2.09525,2.12023,2.14522,1.97689,1.98472,1.99254
Ba0.75Sm0.25Fe0.375Co0.125Ti0.5,2.54194,2.40705,2.27217,2.4384,2.2698,2.1012
Ba0.75Sm0.25Fe0.375Cu0.125Ti0.5,2.54194,2.40705,2.27217,2.4384,2.2698,2.1012
Ba0.75Sm0.25Fe0.375Mg0.125Ti0.5,2.54194,2.40705,2.27217,2.4384,2.2698,2.1012
Ba0.75Sm0.25Fe0.375Mn0.125Ti0.5,2.54194,2.40705,2.27217,2.4384,2.2698,2.1012
Ba0.75Sm0.25Fe0.375Ni0.125Ti0.5,2.54194,2.40705,2.27217,2.4384,2.2698,2.1012
Ba0.75Sm0.25Mg0.125Ni0.5Ti0.375,2.07481,2.12278,2.17075,1.95828,1.98094,2.0036
Ba0.75Sm0.25Mg0.25Ni0.375Ti0.375,2.07481,2.12278,2.17075,1.95828,1.98094,2.0036
Ba0.75Sm0.25Mg0.375Ni0.25Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Mg0.5Ni0.125Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Mn0.125Mg0.5Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Mn0.125Ni0.5Ti0.375,2.07481,2.12278,2.17075,1.95828,1.98094,2.0036
Ba0.75Sm0.25Mn0.25Mg0.375Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Mn0.25Ni0.375Ti0.375,2.07481,2.12278,2.17075,1.95828,1.98094,2.0036
Ba0.75Sm0.25Mn0.375Mg0.25Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Mn0.375Ni0.25Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Mn0.5Mg0.125Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Sm0.25Mn0.5Ni0.125Ti0.375,2.08376,2.11948,2.15519,1.96859,1.9782,1.98781
Ba0.75Y0.25Co0.125Mg0.5Ti0.375,2.03294,2.10909,2.18525,1.92416,1.96823,2.01231
Ba0.75Y0.25Co0.125Mn0.5Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Co0.125Ni0.5Ti0.375,2.03487,2.12267,2.21047,1.92469,1.98123,2.03777
Ba0.75Y0.25Co0.25Mg0.375Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Co0.25Mn0.375Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Co0.25Ni0.375Ti0.375,2.03487,2.12267,2.21047,1.92469,1.98123,2.03777
Ba0.75Y0.25Co0.375Cu0.25Ti0.375,2.0058,2.07337,2.14095,1.8968,1.93299,1.96918
Ba0.75Y0.25Co0.375Mg0.25Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Co0.375Mn0.25Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Co0.375Ni0.25Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Co0.5Cu0.125Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Co0.5Mg0.125Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Co0.5Mn0.125Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Co0.5Ni0.125Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Cu0.125Mg0.5Ti0.375,2.03294,2.10909,2.18525,1.92416,1.96823,2.01231
Ba0.75Y0.25Cu0.125Mn0.5Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Cu0.125Ni0.5Ti0.375,2.03487,2.12267,2.21047,1.92469,1.98123,2.03777
Ba0.75Y0.25Cu0.25Mg0.375Ti0.375,2.0058,2.07337,2.14095,1.8968,1.93299,1.96918
Ba0.75Y0.25Cu0.25Mn0.375Ti0.375,2.0058,2.07337,2.14095,1.8968,1.93299,1.96918
Ba0.75Y0.25Cu0.25Ni0.375Ti0.375,1.99685,2.07668,2.15651,1.88648,1.93573,1.98497
Ba0.75Y0.25Fe0.125Co0.5Ti0.375,2.10257,2.06209,2.0216,1.99641,1.92455,1.85269
Ba0.75Y0.25Fe0.125Mg0.5Ti0.375,2.08891,2.05226,2.0156,1.98303,1.9145,1.84598
Ba0.75Y0.25Fe0.125Mn0.5Ti0.375,2.0998,2.06253,2.02526,1.99388,1.92476,1.85565
Ba0.75Y0.25Fe0.125Ni0.5Ti0.375,2.09438,2.05802,2.02167,1.98811,1.91999,1.85186
Ba0.75Y0.25Fe0.25Co0.375Ti0.375,2.06351,2.12418,2.18486,1.95161,1.98957,2.02754
Ba0.75Y0.25Fe0.25Mg0.375Ti0.375,2.06074,2.12463,2.18852,1.94907,1.98979,2.0305
Ba0.75Y0.25Fe0.25Mn0.375Ti0.375,2.06074,2.12463,2.18852,1.94907,1.98979,2.0305
Ba0.75Y0.25Fe0.25Ni0.375Ti0.375,2.05531,2.12012,2.18493,1.94331,1.98501,2.02671
Ba0.75Y0.25Fe0.375Co0.125Ti0.5,2.60543,2.47005,2.33467,2.50091,2.32937,2.15784
Ba0.75Y0.25Fe0.375Cu0.125Ti0.5,2.60543,2.47005,2.33467,2.50091,2.32937,2.15784
Ba0.75Y0.25Fe0.375Mg0.125Ti0.5,2.60543,2.47005,2.33467,2.50091,2.32937,2.15784
Ba0.75Y0.25Fe0.375Mn0.125Ti0.5,2.60543,2.47005,2.33467,2.50091,2.32937,2.15784
Ba0.75Y0.25Fe0.375Ni0.125Ti0.5,2.60543,2.47005,2.33467,2.50091,2.32937,2.15784
Ba0.75Y0.25Mg0.125Ni0.5Ti0.375,2.03487,2.12267,2.21047,1.92469,1.98123,2.03777
Ba0.75Y0.25Mg0.25Ni0.375Ti0.375,2.03487,2.12267,2.21047,1.92469,1.98123,2.03777
Ba0.75Y0.25Mg0.375Ni0.25Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Mg0.5Ni0.125Ti0.375,2.03294,2.10909,2.18525,1.92416,1.96823,2.01231
Ba0.75Y0.25Mn0.125Mg0.5Ti0.375,2.03294,2.10909,2.18525,1.92416,1.96823,2.01231
Ba0.75Y0.25Mn0.125Ni0.5Ti0.375,2.03487,2.12267,2.21047,1.92469,1.98123,2.03777
Ba0.75Y0.25Mn0.25Mg0.375Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Mn0.25Ni0.375Ti0.375,2.03487,2.12267,2.21047,1.92469,1.98123,2.03777
Ba0.75Y0.25Mn0.375Mg0.25Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Mn0.375Ni0.25Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Mn0.5Mg0.125Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.75Y0.25Mn0.5Ni0.125Ti0.375,2.04383,2.11937,2.1949,1.93501,1.97849,2.02198
Ba0.875K0.125Co0.125Cu0.25.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Co0.125Cu0.375Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.125Mg0.25.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Co0.125Mg0.375Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.125Mn0.25.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Co0.125Mn0.375Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.125Ni0.25.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Co0.125Ni0.375Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.25Cu0.125.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Co0.25Cu0.25Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.25Mg0.125.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Co0.25Mg0.25Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.25Mn0.125.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Co0.25Mn0.25Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.25Ni0.125.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Co0.25Ni0.25Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.375Cu0.125Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.375Mg0.125Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.375Mn0.125Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Co0.375Ni0.125Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Cu0.125Mg0.25.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Cu0.125Mg0.375Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Cu0.125Mn0.25.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Cu0.125Mn0.375Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Cu0.125Ni0.25.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Cu0.125Ni0.375Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Cu0.25Mg0.125.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Cu0.25Mg0.25Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Cu0.25Mn0.125.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Cu0.25Mn0.25Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Cu0.25Ni0.125.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Cu0.25Ni0.25Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Cu0.375Mg0.125Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Cu0.375Mn0.125Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Cu0.375Ni0.125Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Fe0.125Co0.25.625,2.68997,2.5091,2.32822,2.56434,2.36838,2.17292
Ba0.875K0.125Fe0.125Co0.375Ti0.5,2.49159,2.27242,2.05325,2.36719,2.13371,1.90073
Ba0.875K0.125Fe0.125Cu0.25.625,2.68997,2.5091,2.32822,2.56434,2.36838,2.17292
Ba0.875K0.125Fe0.125Cu0.375Ti0.5,2.49159,2.27242,2.05325,2.36719,2.13371,1.90073
Ba0.875K0.125Fe0.125Mg0.25.625,2.68997,2.5091,2.32822,2.56434,2.36838,2.17292
Ba0.875K0.125Fe0.125Mg0.375Ti0.5,2.49159,2.27242,2.05325,2.36719,2.13371,1.90073
Ba0.875K0.125Fe0.125Mn0.25.625,2.68997,2.5091,2.32822,2.56434,2.36838,2.17292
Ba0.875K0.125Fe0.125Mn0.375Ti0.5,2.49159,2.27242,2.05325,2.36719,2.13371,1.90073
Ba0.875K0.125Fe0.125Ni0.25.625,2.68997,2.5091,2.32822,2.56434,2.36838,2.17292
Ba0.875K0.125Fe0.125Ni0.375Ti0.5,2.49159,2.27242,2.05325,2.36719,2.13371,1.90073
Ba0.875K0.125Fe0.25Co0.125.625,2.46006,2.45533,2.4506,2.3343,2.31706,2.2999
Ba0.875K0.125Fe0.25Co0.25Ti0.5,2.28112,2.21234,2.14355,2.15656,2.07571,1.99493
Ba0.875K0.125Fe0.25Cu0.125.625,2.46006,2.45533,2.4506,2.3343,2.31706,2.2999
Ba0.875K0.125Fe0.25Cu0.25Ti0.5,2.28112,2.21234,2.14355,2.15656,2.07571,1.99493
Ba0.875K0.125Fe0.25Mg0.125.625,2.46006,2.45533,2.4506,2.3343,2.31706,2.2999
Ba0.875K0.125Fe0.25Mg0.25Ti0.5,2.28112,2.21234,2.14355,2.15656,2.07571,1.99493
Ba0.875K0.125Fe0.25Mn0.125.625,2.46006,2.45533,2.4506,2.3343,2.31706,2.2999
Ba0.875K0.125Fe0.25Mn0.25Ti0.5,2.28112,2.21234,2.14355,2.15656,2.07571,1.99493
Ba0.875K0.125Fe0.25Ni0.125.625,2.46006,2.45533,2.4506,2.3343,2.31706,2.2999
Ba0.875K0.125Fe0.25Ni0.25Ti0.5,2.28112,2.21234,2.14355,2.15656,2.07571,1.99493
Ba0.875K0.125Mg0.125Ni0.25.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Mg0.125Ni0.375Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Mg0.25Ni0.125.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Mg0.25Ni0.25Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Mg0.375Ni0.125Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Mn0.125Mg0.25.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Mn0.125Mg0.375Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Mn0.125Ni0.25.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Mn0.125Ni0.375Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Mn0.25Mg0.125.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Mn0.25Mg0.25Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Mn0.25Ni0.125.625,2.64626,2.59788,2.54949,2.51524,2.45165,2.38831
Ba0.875K0.125Mn0.25Ni0.25Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Mn0.375Mg0.125Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875K0.125Mn0.375Ni0.125Ti0.5,2.44176,2.34943,2.25709,2.312,2.20526,2.09876
Ba0.875La0.125Co0.125Mg0.5Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Co0.125Mn0.5Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Co0.125Ni0.5Ti0.375,2.03933,2.02922,2.01912,1.91704,1.88382,1.85061
Ba0.875La0.125Co0.25Mg0.375Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Co0.25Mn0.375Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Co0.25Ni0.375Ti0.375,2.03933,2.02922,2.01912,1.91704,1.88382,1.85061
Ba0.875La0.125Co0.375Mg0.25Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Co0.375Mn0.25Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Co0.375Ni0.25Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Co0.5Cu0.125Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Co0.5Mg0.125Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Co0.5Mn0.125Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Co0.5Ni0.125Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Cu0.125Mg0.5Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Cu0.125Mn0.5Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Cu0.125Ni0.5Ti0.375,2.03933,2.02922,2.01912,1.91704,1.88382,1.85061
Ba0.875La0.125Mg0.125Ni0.5Ti0.375,2.03933,2.02922,2.01912,1.91704,1.88382,1.85061
Ba0.875La0.125Mg0.25Ni0.375Ti0.375,2.03933,2.02922,2.01912,1.91704,1.88382,1.85061
Ba0.875La0.125Mg0.375Ni0.25Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Mg0.5Ni0.125Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Mn0.125Mg0.5Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Mn0.125Ni0.5Ti0.375,2.03933,2.02922,2.01912,1.91704,1.88382,1.85061
Ba0.875La0.125Mn0.25Mg0.375Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Mn0.25Ni0.375Ti0.375,2.03933,2.02922,2.01912,1.91704,1.88382,1.85061
Ba0.875La0.125Mn0.375Mg0.25Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Mn0.375Ni0.25Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Mn0.5Mg0.125Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ba0.875La0.125Mn0.5Ni0.125Ti0.375,2.04828,2.02592,2.00356,1.92735,1.88109,1.83482
Ca0.125K0.375Sm0.5Fe0.125.875,2.42288,2.4836,2.54432,2.28668,2.33926,2.39554
Ca0.125K0.375Y0.5Fe0.125.875,2.42671,2.42197,2.41723,2.28596,2.27474,2.26738
Ca0.125La0.25Sm0.625Mn0.75Ti0.25,2.11864,2.34049,2.56233,1.96392,2.18007,2.39623
Ca0.125La0.375Sm0.5Mn0.75Ti0.25,2.04815,2.32548,2.6028,1.90119,2.16864,2.43608
Ca0.125La0.5K0.375Fe0.125.875,2.4248,2.44228,2.45976,2.28684,2.29696,2.31103
Ca0.125La0.5Sm0.375Mn0.75Ti0.25,2.03945,2.30425,2.56905,1.9024,2.15478,2.40717
Ca0.125La0.625K0.125Sm0.125Mn1,2.05176,2.17958,2.3074,1.91006,2.03309,2.15612
Ca0.125La0.625K0.125Y0.125Mn1,2.05176,2.17958,2.3074,1.91006,2.03309,2.15612
Ca0.125La0.625Sm0.25Co0.125Mn0.875,2.00632,2.09679,2.18725,1.871,1.95106,2.03113
Ca0.125La0.625Sm0.25Cu0.125Mn0.875,2.00471,2.08185,2.15899,1.86639,1.93546,2.00453
Ca0.125La0.625Sm0.25Cu0.625Ti0.375,2.16272,2.33247,2.50223,2.03333,2.18863,2.34393
Ca0.125La0.625Sm0.25Fe0.125Mn0.875,2.03171,2.08453,2.13736,1.89812,1.93868,1.97924
Ca0.125La0.625Sm0.25Fe0.625Mn0.375,1.93599,1.9701,2.00421,1.848,1.84488,1.84176
Ca0.125La0.625Sm0.25Mn0.75Ti0.25,2.24736,2.44268,2.63799,2.10674,2.29434,2.48194
Ca0.125La0.625Sm0.25Mn0.875Mg0.125,2.01487,2.10912,2.20336,1.87879,1.96395,2.04911
Ca0.125La0.625Sm0.25Mn0.875Ni0.125,1.97525,2.0744,2.17356,1.83918,1.92903,2.01888
Ca0.125La0.625Sm0.25Mn0.875Ti0.125,2.04212,2.17805,2.31398,1.89492,2.02753,2.16013
Ca0.125La0.625Y0.125Sm0.125Mn1,2.05176,2.17958,2.3074,1.91006,2.03309,2.15612
Ca0.125La0.625Y0.25Co0.125Mn0.875,2.00632,2.09679,2.18725,1.871,1.95106,2.03113
Ca0.125La0.625Y0.25Cu0.125Mn0.875,2.00471,2.08185,2.15899,1.86639,1.93546,2.00453
Ca0.125La0.625Y0.25Cu0.625Ti0.375,2.13583,2.32065,2.50547,2.00685,2.17674,2.34663
Ca0.125La0.625Y0.25Fe0.125Mn0.875,2.03171,2.08453,2.13736,1.89812,1.93868,1.97924
Ca0.125La0.625Y0.25Fe0.625Mn0.375,1.93599,1.9701,2.00421,1.848,1.84488,1.84176
Ca0.125La0.625Y0.25Mn0.75Ti0.25,2.23308,2.43686,2.64063,2.0932,2.28884,2.48448
Ca0.125La0.625Y0.25Mn0.875Mg0.125,2.01487,2.10912,2.20336,1.87879,1.96395,2.04911
Ca0.125La0.625Y0.25Mn0.875Ni0.125,1.97525,2.0744,2.17356,1.83918,1.92903,2.01888
Ca0.125La0.625Y0.25Mn0.875Ti0.125,2.04212,2.17805,2.31398,1.89492,2.02753,2.16013
Ca0.125La0.75K0.125Co0.125Mn0.875,2.19262,2.27131,2.35,2.06042,2.1305,2.20058
Ca0.125La0.75K0.125Co0.25Mn0.75,2.08844,2.21237,2.33629,1.96024,2.07157,2.1829
Ca0.125La0.75K0.125Co0.375Mn0.625,2.02482,2.20077,2.37673,1.89783,2.06135,2.22487
Ca0.125La0.75K0.125Cu0.125Mn0.875,2.2054,2.25768,2.30997,2.06973,2.11584,2.16195
Ca0.125La0.75K0.125Cu0.25Mn0.75,1.97955,2.12913,2.27871,1.84637,1.98585,2.12533
Ca0.125La0.75K0.125Fe0.125Mn0.875,2.24062,2.26373,2.28685,2.10925,2.1224,2.13555
Ca0.125La0.75K0.125Fe0.25Mn0.75,2.03291,2.15596,2.27902,1.91256,2.01659,2.12061
Ca0.125La0.75K0.125Mn0.625Mg0.375,2.10348,2.23749,2.3715,1.97811,2.09806,2.218
Ca0.125La0.75K0.125Mn0.625Ni0.375,2.00886,2.1878,2.36674,1.88457,2.04872,2.21286
Ca0.125La0.75K0.125Mn0.75Mg0.25,2.12358,2.24481,2.36604,1.99709,2.10475,2.21241
Ca0.125La0.75K0.125Mn0.75Ni0.25,2.05462,2.18078,2.30694,1.92738,2.04083,2.15428
Ca0.125La0.75K0.125Mn0.75Ti0.25,2.3356,2.52153,2.70747,2.19721,2.3763,2.55548
Ca0.125La0.75K0.125Mn0.875Mg0.125,2.21107,2.29007,2.36907,2.07793,2.14949,2.22106
Ca0.125La0.75K0.125Mn0.875Ni0.125,2.15004,2.23454,2.31904,2.01843,2.09448,2.17053
Ca0.125La0.75K0.125Mn0.875Ti0.125,2.1761,2.30476,2.43343,2.02894,2.15707,2.28519
Ca0.125La0.75Sm0.125Co0.125Mn0.875,2.19262,2.27131,2.35,2.06042,2.1305,2.20058
Ca0.125La0.75Sm0.125Co0.25Mn0.75,2.08844,2.21237,2.33629,1.96024,2.07157,2.1829
Ca0.125La0.75Sm0.125Co0.375Mn0.625,2.02482,2.20077,2.37673,1.89783,2.06135,2.22487
Ca0.125La0.75Sm0.125Cu0.125Mn0.875,2.2054,2.25768,2.30997,2.06973,2.11584,2.16195
Ca0.125La0.75Sm0.125Cu0.25Mn0.75,1.97955,2.12913,2.27871,1.84637,1.98585,2.12533
Ca0.125La0.75Sm0.125Cu0.625Ti0.375,2.0776,2.32708,2.57655,1.95409,2.18495,2.41582
Ca0.125La0.75Sm0.125Fe0.125Mn0.875,2.24062,2.26373,2.28685,2.10925,2.1224,2.13555
Ca0.125La0.75Sm0.125Fe0.25Mn0.75,2.03291,2.15596,2.27902,1.91256,2.01659,2.12061
Ca0.125La0.75Sm0.125Mn0.625Mg0.375,2.10348,2.23749,2.3715,1.97811,2.09806,2.218
Ca0.125La0.75Sm0.125Mn0.625Ni0.375,2.00886,2.1878,2.36674,1.88457,2.04872,2.21286
Ca0.125La0.75Sm0.125Mn0.75Mg0.25,2.12358,2.24481,2.36604,1.99709,2.10475,2.21241
